"ID","NAME","MEETINGNO__C","TT_ARRANGESTATUSREQUEST__C","TT_TIMESTAMPBYL__C","TT_LASTAPPROVALUSERNAME__C","TT_LASTAPPROVALDATE__C","TT_STARTDATEREMARKS__C","TT_PLACEPREFECTURE__C","TT_PLACECITY__C","TT_PLACEFREE__C","TT_STARTTIME__C","TT_ENDTIME__C","TT_HALLLAYOUT__C","TT_NEEDDISCUSSION__C","TT_NEEDPARTY__C","TT_NUMBEROFPARTICIPANTSPARTY__C","TT_NEEDANTEROOMLECTURE__C","TT_NEEDANTEROOMLECTURETIMEFROM__C","TT_NEEDANTEROOMLECTURENUMBER__C","TT_NEEDANTEROOMEMPLOYEE__C","TT_NEEDANTEROOMEMPLOYEENUMBER__C","TT_NEEDSPONSOR__C","TT_NEEDSPONSORTIMEFROM__C","TT_NEEDSPONSORNUMBER__C","TT_WISHINGSTAYNUMBER__C","TT_WISHINGSTAYDATE__C","TT_ARRANGEPLANNUMBERTRAFFIC__C","TT_ARRANGEPLANNUMBERTAXI__C","TT_REMARKSOTHER__C"
"a0G1000000jYomAEAS","MTA15-00007748","MTG15-00040750","3","20150308114222","","","2015 3 24","群馬県","高崎市","高崎ビューホテル","19:30","20:30","1","false","false","3.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","担当ＭＲ　禅野より仮押さえしております"
"a0G1000000jYpMaEAK","MTA15-00007757","MTG15-00037300","3","20150220155158","","","","徳島県","","三好病院　医局","19:00","20:00","1","false","false","4.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","手配不要"
"a0G1000000jYnrgEAC","MTA15-00007743","MTG15-00037099","3","20150219235943","","","","山口県","","徳山中央病院　独法","18:00","18:50","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","院内会議室を資料しますので会場の手配は必要有りません"
"a0G1000000jYnu3EAC","MTA15-00007744","MTG15-00037688","3","20150219172659","","","","","","仙台循環器病センター図書室","19:00","20:00","4","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","医局内での集合視聴のため、会場手配の必要はございません"
"a0G1000000jYoOcEAK","MTA15-00007746","MTG15-00037099","3","20150219232457","","","","","","院内会議室","18:00","18:50","9","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","会場手配不要。"
"a0G1000000jYpMVEA0","MTA15-00007756","MTG15-00037099","3","20150220073412","","","","千葉県","佐倉市","東邦大学医療センター佐倉病院　会議室","18:00","18:50","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","病院内会議室で行うため、会場手配は必要ありません。"
"a0G1000000jYpOCEA0","MTA15-00007763","MTG15-00037099","3","20150220100610","","","","","","院内で行う為、手配の必要なし。","18:00","18:50","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYpNTEA0","MTA15-00007761","MTG15-00037099","3","20150220152623","","","消化器病センター　外来診察終了後に視聴予定","静岡県","静岡市","静岡県立総合病院","18:00","18:50","2","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYpNxEAK","MTA15-00007762","MTG15-00037099","3","20150220100728","","","","熊本県","","熊本市　くまもと森都病院　ロビー","18:00","18:50","2","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYpRGEA0","MTA15-00007764","MTG15-00036018","3","20150220092403","","","","","","山梨大学","19:00","20:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYq8nEAC","MTA15-00007769","MTG15-00037099","3","20150220133852","","","","愛知県","刈谷市","刈谷豊田総合病院会議室（院内）","18:00","18:50","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYq1dEAC","MTA15-00007766","MTG15-00040460","2","20150225232118","","","","北海道","旭川市","藤田観光ワシントンホテル","19:00","20:30","1","false","true","3.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYq47EAC","MTA15-00007767","MTG15-00037300","3","20150220113337","","","","高知県","高知市","高知医療センター会議室","19:00","20:00","1","false","false","4.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","院内会議室で行いますので、会場手配は必要ありません。

CVN,四国エリア、高知FS　
山下由依　　080-2548-0841"
"a0G1000000jYqDAEA0","MTA15-00007771","MTG15-00036018","3","20150220111912","","","","","","広島総合病院　2F糖尿病教室","19:00","20:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYqDFEA0","MTA15-00007772","MTG15-00037296","3","20150303191858","","","","","","順天堂大学10号館1階110号","20:00","21:00","1","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYq0pEAC","MTA15-00007765","MTG15-00037099","3","20150220121213","","","院内施設で開催のため、会場手配不要","東京都","港区","東京慈恵会医科大学　第二会議室","18:00","18:50","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYqJEEA0","MTA15-00007775","MTG15-00035514","2","20150223195311","","","2015年3月24日","高知県","高知市","ラ・ヴィータ　8階　ラヴィータホール","19:00","20:40","1","true","false","0.0","true","18:00","2.0","false","0.0","false","","0.0","0.0","","0.0","0.0","本会場は予約済みですが、講師控室の手配と精算代行をお願い致します。
可能でしたら50人規模での会場つくりをお願い致します。

CVN、四国エリア、高知FS
山下由依　080-2548-0841"
"a0G1000000jYq4CEAS","MTA15-00007768","MTG15-00037302","4","20150306102927","","","","高知県","高知市","高知共済会館　4F　浜木綿の間","19:00","20:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","講演会会場は、すでに予約済みなので精算代行のみお願いします。

CVN　四国エリア高知FS　大澤亮人　08085423947"
"a0G1000000jYqLKEA0","MTA15-00007777","MTG15-00039596","2","20150305141202","","","2015年4月16日","静岡県","浜松市","クラウンパレス浜松
トップツアーに手配依頼済み","19:15","21:00","1","true","false","0.0","true","18:00","3.0","false","0.0","false","","0.0","0.0","","0.0","0.0","予約済みです。
精算代行をお願いいたします。"
"a0G1000000jYqD0EAK","MTA15-00007770","MTG15-00037688","3","20150220113249","","","","東京都","青梅市","青梅市立総合病院　南別館　第2会議室","19:00","20:00","1","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYqG4EAK","MTA15-00007774","MTG15-00037688","3","20150220121751","","","","和歌山県","和歌山市","和歌山県立医科大学　２階","19:00","20:00","1","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","学内開催の為、会場手配不要"
"a0G1000000jYqFGEA0","MTA15-00007773","MTG15-00037300","4","20150313133758","","","","東京都","昭島市","東京西徳洲会病院　治験センター","19:00","20:00","2","false","false","4.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYqMrEAK","MTA15-00007778","MTG15-00037688","3","20150221051844","","","","","","宮崎大学医学部附属病院","19:00","20:00","2","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","医局にて開催致しますので、会場手配の必要はございません。"
"a0G1000000jYqVZEA0","MTA15-00007780","MTG15-00039541","3","20150227124318","","","","香川県","高松市","マリンパレスさぬき","15:00","18:00","1","false","false","0.0","true","","1.0","false","0.0","false","","0.0","0.0","","0.0","0.0","既に、会場・講師控室・世話人会室は予約完了しております。"
"a0G1000000jYqSGEA0","MTA15-00007779","MTG15-00037688","3","20150223221217","","","","群馬県","渋川市","北関東循環器病院医局","19:00","20:00","1","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYqnUEAS","MTA15-00007782","MTG15-00037688","3","20150220185011","","","","","","慶應義塾大学　循環器内科病棟","19:00","20:00","9","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","会場手配は必要ありません。（病棟会議室で行うため）"
"a0G1000000jYqzVEAS","MTA15-00007784","MTG15-00040644","3","20150309160032","","","2015年3月28日（土）","千葉県","","海浜幕張","16:00","18:30","9","true","false","0.0","true","","3.0","false","0.0","true","","0.0","0.0","","0.0","0.0","予約済です。
精算代行をお願い致します。"
"a0G1000000jYrCKEA0","MTA15-00007787","MTG15-00037688","3","20150220160805","","","","新潟県","","桑名病院　総合医局","19:00","20:00","2","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","病院での開催のため会場手配不要。"
"a0G1000000jYr09EAC","MTA15-00007785","MTG15-00035537","2","20150223112156","","","","大分県","","レンブラントホテル大分","19:00","20:00","1","false","true","3.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","精算代行お願いします。トップツアー電話連絡済み"
"a0G1000000jYr6uEAC","MTA15-00007786","MTG15-00036018","3","20150220150323","","","","岡山県","岡山市水島","水島協同病院　２F　ｶﾝﾌｧﾚﾝｽﾙｰﾑ","19:00","20:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","医局で行いますので、会場手配は必要ありません。"
"a0G1000000jYrDDEA0","MTA15-00007788","MTG15-00037300","3","20150220160732","","","","新潟県","","桑名病院","19:00","20:00","2","false","false","4.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","病院での開催のため、会場手配不要。"
"a0G1000000jYrReEAK","MTA15-00007793","MTG15-00038787","3","20150226143025","","","","","","ホテルオークラ札幌","18:00","19:00","1","false","false","3.0","false","","0.0","false","0.0","false","","0.0","0.0","20150218","0.0","0.0","会場手配済み"
"a0G1000000jYrV2EAK","MTA15-00007795","MTG15-00039607","3","20150304205634","","","","山口県","山口市","ホテル松政","19:00","21:00","9","true","false","24.0","false","","0.0","false","0.0","false","","0.0","0.0","20150313","0.0","0.0","精算代行をお願いします"
"a0G1000000jYrqFEAS","MTA15-00007797","MTG15-00037300","3","20150222214810","","","","","","呉共済病院院内会議室","19:00","20:00","1","false","false","4.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","院内会議室のため手配不要"
"a0G1000000jYrz5EAC","MTA15-00007800","MTG15-00040988","2","20150317182159","","","2015年5月26日（火）、16:30-22:00 
（会議時間帯： 18:30-21:30）","東京都","千代田区","東京駅 
（ステーションコンファレンス東京） 
アクセスしやすい(わかりやすい）、部屋、設備がきれいなこと。","18:30","21:30","9","false","false","0.0","false","","0.0","false","0.0","false","","0.0","4.0","20150526","0.0","0.0","2014年12月10日開催の第2回の会と同じ手配内容でお願いします。

【宿泊】 
禁煙4部屋（トップツアーへ手配依頼済） 

【飲食手配】 
・弁当（@2160円×6） 
・お茶（ペットボトル×6） 
・ミネラルウォーター（ペットボトル×6） 

【レイアウト】 
・コの字型（3 + 3 + 3 名ぐらい）、コの字後ろにテーブル（4名）x 3 列 
・プロジェクターにて投影（スクリーン設置） 
・マイク6本設置"
"a0G1000000jYsdJEAS","MTA15-00007802","MTG15-00037099","3","20150220222157","","","院内施設にて実施の為会場手配は不要です。","栃木県","下都賀郡","獨協医科大学病院　10階
獨協医科大学病院メディカル倶楽部","18:00","18:50","9","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","獨協医科大学病院
第二外科/泌尿器科/耳鼻科の病棟・外来看護師様対象です。"
"a0G1000000jYsjREAS","MTA15-00007805","MTG15-00037688","3","20150221070629","","","","","","病院内会議室","19:00","20:00","1","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","病院内会議室で行いますので、会場手配は必要ありません。"
"a0G1000000jYvfdEAC","MTA15-00007806","MTG15-00037099","3","20150224123109","","","手配済　費用などはなし","長野県","松本市","信州大学病院　病棟内","18:00","18:50","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jYwk8EAC","MTA15-00007807","MTG15-00040552","1","20150222003719","","","","千葉県","千葉市","仮予約済み

場所：きぼーる　千葉市ビジネス支援センター
会場：会議室(15F)
控室：会議室(13F)
電話：043-201-9502","00:00","00:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","予約済みです。
見積もり依頼と精算代行お願いします。"
"a0G1000000jYzJZEA0","MTA15-00007810","MTG15-00036018","4","20150225112824","","","先方の都合で中止","愛知県","","内科外来8番","19:00","20:00","9","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","院内開催のため会場手配は不要です。"
"a0G1000000jYxozEAC","MTA15-00007808","MTG15-00037302","3","20150222213956","","","","","","豊橋ハートセンター","19:00","20:00","2","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","豊橋ハートセンター内の会議室で行いますので、会場手配は必要ありません。"
"a0G1000000geoCeEAI","MTA15-00006197","MTG15-00035428","2","20150414131014","","","","","","ウエスティンホテル仙台
※トップツアー株式会社山崎様手配済み","17:00","21:00","1","true","true","11.0","true","16:00","4.0","false","0.0","false","","0.0","1.0","20150627","0.0","0.0",""
"a0G1000000gepCeEAI","MTA15-00006201","MTG15-00035489","2","20150108104257","","","","静岡県","静岡市","ニッセイ駅前ビル 
貸会議室 
会場フロア ２階 
郵便番号 420-0851 
静岡市葵区黒金町59-7 
054-272-6562","18:30","19:45","1","false","true","1.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000gepBlEAI","MTA15-00006200","MTG15-00035489","","","","","","静岡県","静岡市","ニッセイ駅前ビル 
貸会議室 
会場フロア ２階 
施設郵便番号 420-0851 
施設住所 静岡市葵区黒金町59-7 
施設電話番号","18:30","19:45","1","false","true","1.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000getLAEAY","MTA15-00006211","MTG15-00035468","2","20150117105754","","","平成26年2月24日（火）19:00-20:20

場所　　　　：ベルヴィ　ギャザホール  モデルノ
住所　　　　：埼玉県越谷市神明町2-170 
電話番号  ：048-977-0000
で予約済み","埼玉県","越谷市","越谷市","18:50","21:00","1","true","false","0.0","true","18:00","2.0","false","0.0","true","","0.0","0.0","","0.0","0.0",""
"a0G1000000gewXtEAI","MTA15-00006214","MTG15-00035490","2","20150109081848","","","","千葉県","松戸市","聖徳大学10号館","19:30","20:30","9","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","予約済みです。
精算代行をお願い致します。"
"a0G1000000jZ0F6EAK","MTA15-00007812","MTG15-00037300","3","20150227093550","","","","青森県","八戸市","八戸パークホテル","19:00","20:00","1","false","false","4.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000geweCEAQ","MTA15-00006217","MTG15-00035578","2","20150114142433","","","講演会場・情報交換会場・演者控室はバイエル薬品　大谷で
気仙沼ホテル観洋にて手配済み","宮城県","気仙沼市","気仙沼ホテル観洋","18:45","20:30","1","true","false","0.0","true","17:00","2.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000gey2EEAQ","MTA15-00006223","MTG15-00035443","2","20150110104826","","","","岡山県","岡山市北区","後楽ホテル　
延養の間","19:00","20:30","1","false","false","3.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","予約済みです。
精算だ意向をお願いいたします。"
"a0G1000000gexAWEAY","MTA15-00006220","MTG15-00035445","3","20150126105250","","","2015年2月19日(木)市川グランドホテルを予約済。","千葉県","市川市","市川グランドホテル　6階　藤の間","19:15","20:45","1","true","false","0.0","true","18:30","4.0","false","0.0","false","","0.0","0.0","","0.0","0.0","予約済です。精算代行をお願い致します。"
"a0G1000000jZ0H7EAK","MTA15-00007813","MTG15-00037296","3","20150227100037","","","","青森県","八戸市","八戸パークホテル","20:00","21:00","1","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000gewzMEAQ","MTA15-00006218","MTG15-00035596","2","20150115130530","","","1月19日(月) 19:00〜20:30","新潟県","胎内市","中条グランドホテル 新潟県胎内市東本町25-50
0254-43-6060","19:00","20:30","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","ホテルにて夕食提供"
"a0G1000000geyS2EAI","MTA15-00006224","MTG15-00035553","2","20150119092856","","","2月26日
既に担当者の方で、会場は予約済です。","石川県","","ANAクラウンプラザホテル金沢","19:30","21:10","1","true","false","0.0","true","19:00","5.0","false","0.0","false","","0.0","0.0","20150226","0.0","0.0",""
"a0G1000000jZ0SPEA0","MTA15-00007814","MTG15-00036018","3","20150223094001","","","","神奈川県","","湘南藤沢徳洲会病院透析控室","19:00","20:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","院内ですので、会場の手配は必要ありません。"
"a0G1000000jZ1eSEAS","MTA15-00007823","MTG15-00038508","2","20150224145405","","","","熊本県","熊本市","ホテルニューオータニ熊本","19:00","20:30","1","true","false","0.0","true","18:00","4.0","false","0.0","false","","0.0","1.0","20150326","0.0","0.0","講演会会場はMRがホテルに直接連絡の上、仮予約済。
宿泊は特別講演演者宿泊用として、ツインルーム（シングルユース）にて手配希望。"
"a0G1000000gf17pEAA","MTA15-00006227","MTG15-00035709","2","20150116153319","","","","大分県","大分市","大分オアシスタワーホテル　20F オーキッド","19:00","20:30","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","予約済です。
精算代行をお願い致します。"
"a0G1000000gezi9EAA","MTA15-00006225","MTG15-00035698","2","20150115130654","","","","滋賀県","草津市","クサツエストピアホテル","18:30","21:00","1","false","false","0.0","true","18:00","2.0","false","0.0","true","18:00","0.0","2.0","20150220","0.0","0.0",""
"a0G1000000jZ1RdEAK","MTA15-00007817","MTG15-00040811","2","20150302162233","","","2015／3／19開催","京都府","京都市","リーガロイヤルホテル京都 BF1 梅","18:00","19:00","2","false","true","3.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","会場は手配済み、慰労会手配お願いします。"
"a0G1000000gf2KmEAI","MTA15-00006232","MTG15-00035678","2","20150202162301","","","","","","お手配お願いしてます。","19:00","21:00","2","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jZ2JqEAK","MTA15-00007835","MTG15-00037099","3","20150223144504","","","","","","会議室","18:00","18:50","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000jZ1qbEAC","MTA15-00007829","MTG15-00036018","3","20150223112707","","","","大分県","","大分大学医学部附属病院","19:00","20:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","医局で行いますので、会場手配は必要ありません"
"a0G1000000jZ1wQEAS","MTA15-00007831","MTG15-00037688","3","20150224104638","","","","大阪府","八尾市","医真会八尾総合病院　３階と朱室","19:00","20:00","2","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","医局　図書室で行いますので、会場手配は必要ありません。"
"a0G1000000jZ2UCEA0","MTA15-00007838","MTG15-00037688","3","20150223161621","","","","奈良県","","近畿大学医学部奈良病院","19:00","20:00","1","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","医局で行うため会場の手配は必要ありません。"
"a0G1000000jZ1eAEAS","MTA15-00007821","MTG15-00036018","3","20150302171347","","","","","","古河赤十字病院","19:00","20:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","院内開催のため手配不要"
"a0G1000000jZ2W3EAK","MTA15-00007839","MTG15-00036018","3","20150223161642","","","","奈良県","","近畿大学医学部奈良病院　医局棟","19:00","20:00","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","医局棟で行うため、会場の手配はありません。"
"a0G1000000jZ39YEAS","MTA15-00007844","MTG15-00037688","3","20150223164204","","","","鹿児島県","鹿児島市","鹿児島医療センター第一循環器内科医局","19:00","20:00","9","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","医局にて開催"
"a0G1000000jZ1myEAC","MTA15-00007826","MTG15-00037688","3","20150223123558","","","","和歌山県","","和歌山県立医科大学　7階カンファレンスルーム","19:00","20:00","1","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","和歌山県立医科大学内で開催の為、会場手配不要でお願いします。"
"a0G1000000gf25cEAA","MTA15-00006230","MTG15-00035695","2","20150109083733","","","2月6日（金）","広島県","広島市","広島大学医学部 第4講義室","19:00","20:40","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","会場は予約済みです。（大学医局からしか予約できません。会場費は約10,000円と思われます。支払は会当日よりも前に振込が必要です。後日、大学事務から請求書を入手します。（振込先口座記載）振込名義はトップツアーで問題無し。予約番号（？）で管理しているため。"
"a0G1000000jZ1jpEAC","MTA15-00007825","MTG15-00037300","3","20150223145538","","","医局で実施なので手配不要","","","医局","19:00","20:00","9","false","false","4.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","医局で実施なので手配不要"
"a0G1000000jZ1pEEAS","MTA15-00007828","MTG15-00041200","2","20150310090620","","","2015/3/25　19:00～21:00","千葉県","","ザ・クレストホテル柏  ３階メープルウエスト","19:00","20:30","2","false","false","0.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","予約済みです。　精算代行お願いします。"
"a0G1000000jZ1n8EAC","MTA15-00007827","MTG15-00037688","3","20150223112229","","","","大分県","","大分大学医学部附属病院","19:00","20:00","1","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","医局で行いますので会場手配は必要ありません。"
"a0G1000000jZ1tQEAS","MTA15-00007830","MTG15-00039780","2","20150403163849","","","","","","大阪","13:00","17:00","1","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0",""
"a0G1000000gf3pWEAQ","MTA15-00006237","MTG15-00035754","1","20150108132205","","","","","","会場手配済み","10:00","12:30","1","false","false","0.0","false","","0.0","false","0.0","false","","0.0","250.0","20150321","0.0","0.0","交通手配の見積もりも併せてお願いいたします。"
"a0G1000000gf2YKEAY","MTA15-00006234","MTG15-00035574","1","20150108174500","","","","福岡県","久留米市","久留米大学医学部筑水会館","18:45","21:00","1","true","false","0.0","true","17:30","1.0","false","0.0","false","","0.0","0.0","","0.0","0.0","研究会会場・講師控室・懇親会会場予約済み。久留米大学総務にて手続きを行う。"
"a0G1000000jZ2HuEAK","MTA15-00007834","MTG15-00037688","3","20150225115412","","","","","","福岡大学筑紫病院","19:00","20:00","2","false","false","8.0","false","","0.0","false","0.0","false","","0.0","0.0","","0.0","0.0","病院会議室にて実施する為、会場手配不要です。"
