口座番号,口座番号枝番,口座名１,口座名２,部課名,チケット番号,使用日付,タクシー会社コード,金額
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021411,2012/8/3,69,5210
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021421,2012/8/3,120,10000
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021423,2012/8/3,9,9950
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668021424,2012/8/3,9,9990
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668154809,2012/7/19,69,2510
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668154814,2012/7/19,69,1340
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668154815,2012/7/19,69,2100
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668154817,2012/7/19,69,1070
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668154818,2012/7/20,9,9690
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668154819,2012/7/19,9,1160
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668154902,2012/7/19,69,1380
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668154908,2012/7/19,9,800
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668154911,2012/7/19,9,2330
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668274110,2012/7/11,9,2420
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668274203,2012/7/11,9,8810
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668274211,2012/7/11,69,1790
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668274216,2012/7/11,9,5880
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668274304,2012/7/11,69,2870
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668274316,2012/7/11,69,2240
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668274320,2012/7/11,9,3500
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668274401,2012/7/11,69,6980
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668274404,2012/7/11,9,2900
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668274406,2012/7/11,69,7010
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668274409,2012/7/11,69,5030
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668274417,2012/7/11,69,980
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668274420,2012/7/11,69,3410
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668449411,2012/8/1,69,710
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668449501,2012/8/1,9,1160
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668449504,2012/8/1,69,4090
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668449505,2012/8/1,69,8790
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668449510,2012/8/1,9,3400
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668449511,2012/8/1,9,9000
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668449516,2012/8/1,9,6110
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668449702,2012/8/1,9,1520
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668449704,2012/8/1,69,710
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478513,2012/7/13,9,3710
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478524,2012/7/13,9,2320
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478602,2012/7/13,9,1470
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478618,2012/7/13,69,5570
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478701,2012/7/13,9,4530
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478702,2012/7/13,9,3090
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478703,2012/7/13,9,2820
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478704,2012/7/13,9,5880
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478705,2012/7/13,9,3270
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478706,2012/7/13,9,4530
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478707,2012/7/13,9,4620
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478708,2012/7/13,9,4460
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478709,2012/7/13,9,9000
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478710,2012/7/13,9,4170
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478711,2012/7/13,9,3270
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478712,2012/7/13,9,6600
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478713,2012/7/13,9,9000
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478714,2012/7/13,9,2900
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478715,2012/7/13,9,3900
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478716,2012/7/13,9,2010
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478717,2012/7/13,9,1650
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478718,2012/7/13,9,1290
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478719,2012/7/13,9,9000
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478720,2012/7/13,9,1920
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478721,2012/7/13,9,3090
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478722,2012/7/13,9,4440
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478723,2012/7/13,9,1110
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478801,2012/7/13,9,3270
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478802,2012/7/13,9,6180
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478803,2012/7/13,9,2510
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478807,2012/7/13,9,1880
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478808,2012/7/13,69,6810
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668478811,2012/7/13,9,3630
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668704604,2012/6/26,69,6100
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668704605,2012/6/26,69,5000
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668828801,2012/7/18,69,9260
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668828802,2012/7/18,69,4400
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668828803,2012/7/18,69,3000
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851601,2012/7/25,9,1610
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851602,2012/7/25,9,7700
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851603,2012/7/25,69,3860
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851604,2012/7/25,69,2240
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851606,2012/7/25,9,3320
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851607,2012/7/25,9,3770
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851608,2012/7/25,9,5000
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851609,2012/7/25,69,2150
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851610,2012/7/25,9,4340
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851611,2012/7/25,9,3590
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851612,2012/7/25,9,4040
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851613,2012/7/25,69,4490
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851614,2012/7/25,69,9330
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851617,2012/7/25,9,3050
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851619,2012/7/25,69,1880
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851620,2012/7/25,69,9880
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851621,2012/7/25,9,6250
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851622,2012/7/25,69,1780
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851623,2012/7/25,9,9000
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851624,2012/7/25,69,2060
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668851701,2012/7/25,9,6760
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,668970307,2012/7/13,69,2870
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669055407,2012/7/25,69,1610
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669055409,2012/7/25,69,3770
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669055410,2012/7/25,69,2330
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669055413,2012/7/25,9,9990
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669055421,2012/7/25,69,7880
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669055513,2012/7/25,69,2870
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669055515,2012/7/25,69,5920
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669055601,2012/7/25,9,9990
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669055604,2012/7/25,69,800
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669055715,2012/7/25,69,2420
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669055717,2012/7/25,9,2690
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669055721,2012/7/25,69,3410
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669177015,2012/8/3,120,4180
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669177016,2012/8/3,9,7240
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669177017,2012/8/3,9,9990
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669177020,2012/8/3,120,3940
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669177022,2012/8/3,69,1430
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669177209,2012/8/3,120,6540
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669177211,2012/8/3,69,5690
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669177213,2012/8/3,69,9920
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669177218,2012/8/3,69,1430
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669177220,2012/8/3,69,4040
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669177221,2012/8/3,69,4850
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669177222,2012/8/3,9,2960
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669185516,2012/7/25,69,4970
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669185517,2012/7/25,69,4790
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669185519,2012/7/25,69,3000
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669185520,2012/7/25,69,9150
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669185603,2012/7/25,9,1920
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669185607,2012/7/25,9,3360
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669185610,2012/7/25,9,1740
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227201,2012/7/25,9,5200
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227301,2012/7/25,69,3680
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227303,2012/7/25,69,1160
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227304,2012/7/25,69,2240
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227305,2012/7/25,9,7470
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227306,2012/7/25,69,8620
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227307,2012/7/25,69,1880
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227308,2012/7/25,69,5750
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227309,2012/7/25,69,6740
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227310,2012/7/25,69,5610
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227311,2012/7/25,69,3450
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227312,2012/7/25,69,4440
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227313,2012/7/25,69,6690
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227314,2012/7/25,69,3180
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227315,2012/7/25,69,8360
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227316,2012/7/25,69,7200
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227317,2012/7/25,69,2820
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227318,2012/7/25,69,2370
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669227319,2012/7/25,69,5160
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669244201,2012/8/3,69,4580
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669244204,2012/8/3,120,5820
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669244308,2012/8/3,120,2700
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669244311,2012/8/3,69,2510
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669244319,2012/8/3,69,5840
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669274816,2012/9/4,332,2240
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669274821,2012/9/4,332,3670
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669274822,2012/9/4,332,9000
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669274920,2012/9/4,332,710
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669275007,2012/9/4,332,4160
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669309209,2012/8/3,69,2780
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669309210,2012/8/3,69,2600
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669309220,2012/8/3,69,5030
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669309301,2012/8/3,69,4850
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669309303,2012/8/3,69,1070
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669309307,2012/8/3,120,3420
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669309308,2012/8/3,120,3020
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669309316,2012/8/3,69,3050
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669369205,2012/8/3,9,10000
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669369206,2012/8/3,69,1880
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669369220,2012/8/3,9,3450
154058,1,バイエル薬品（株）　トップツア,ー株式会社ＭＣＣ大阪支店,高齢者の抗凝固療法,669369304,2012/8/3,69,980
